epoch,abdomen,head_,loss,lr,neck,val_abdomen,val_head_,val_loss,val_neck,val_waist,waist
0,0.007630220148712397,0.007305847480893135,0.006594309117645025,1e-04,0.006431343499571085,0.00713621499016881,0.006214956287294626,0.005213673692196608,0.004447281360626221,0.0030562386382371187,0.005009839311242104
1,0.0065779960714280605,0.005349474027752876,0.004696797579526901,1e-04,0.0038991470355540514,0.004777438938617706,0.004982180893421173,0.00393171701580286,0.0033983022440224886,0.0025689471513032913,0.0029605701565742493
2,0.0045370664447546005,0.003928321413695812,0.0033259133342653513,1e-04,0.002709785243496299,0.0031444700434803963,0.0028510417323559523,0.0023440481163561344,0.001979302614927292,0.0014013797044754028,0.0021284844260662794
3,0.0033033641520887613,0.002893056022003293,0.0025136605836451054,1e-04,0.0021154542919248343,0.0030305692926049232,0.002633742755278945,0.002257317304611206,0.0017774254083633423,0.0015875312965363264,0.0017427696147933602
4,0.0027907704934477806,0.0022666784934699535,0.0021118945442140102,1e-04,0.0017997032264247537,0.0022100305650383234,0.0020664369221776724,0.0018039392307400703,0.0014508950989693403,0.001488394569605589,0.0015904251486063004
5,0.002284917514771223,0.0018418325344100595,0.0017498958623036742,1e-04,0.001534545561298728,0.002227547112852335,0.002181370509788394,0.0019819645676761866,0.002036672318354249,0.0014822689117863774,0.0013382865581661463
6,0.0017642175080254674,0.0013705657329410315,0.001371455378830433,1e-04,0.001228036475367844,0.0020664359908550978,0.0019255011575296521,0.0016826502978801727,0.0015645589446648955,0.0011741050984710455,0.001123000867664814
7,0.001573870307765901,0.00121428316924721,0.0012339613167569041,1e-04,0.0010972046293318272,0.0019031137926504016,0.001447533955797553,0.0014078067615628242,0.0012146994704380631,0.0010658802930265665,0.0010504875099286437
8,0.0015300806844606996,0.0011021082755178213,0.0011554380180314183,1e-04,0.0010046456009149551,0.0017467577708885074,0.0014891396276652813,0.0013920679921284318,0.0011288815876469016,0.0012034930987283587,0.000984919723123312
9,0.001233783783391118,0.0009522487525828183,0.0009774435311555862,1e-04,0.000882602937053889,0.0015486734919250011,0.0013288171030580997,0.0012844206066802144,0.001183283282443881,0.0010769086657091975,0.000841138360556215
10,0.0010881110792979598,0.0007943068630993366,0.0008505466394126415,1e-04,0.0007744692848064005,0.0015087784267961979,0.0012860504211857915,0.0012002467410638928,0.0010004963260143995,0.0010056619066745043,0.0007452999707311392
11,0.0009732406469993293,0.0007055352907627821,0.0007583049591630697,1e-04,0.0006883891182951629,0.0014347498072311282,0.001143923494964838,0.001162188476882875,0.0009960862807929516,0.0010739940917119384,0.0006660543731413782
12,0.0008805821998976171,0.0006614338490180671,0.0007136579370126128,1e-04,0.0006541532347910106,0.0015535716665908694,0.0014769131084904075,0.0012909660581499338,0.0010989424772560596,0.001034436863847077,0.00065846205689013
13,0.0007382752955891192,0.0005779613275080919,0.0006094372947700322,1e-04,0.000570701842661947,0.001576119102537632,0.0013259290717542171,0.001242533908225596,0.0010605471907183528,0.0010075406171381474,0.0005508104804903269
14,0.0007636653026565909,0.0005287360399961472,0.0005885227001272142,1e-04,0.000544440932571888,0.0015559656312689185,0.0013216056395322084,0.0012229916173964739,0.0010513332672417164,0.0009630617569200695,0.0005172492819838226
15,0.0007485902751795948,0.0005199023871682584,0.000570999807678163,1e-04,0.000523557246197015,0.0013063804944977164,0.0012570678954944015,0.0011355322785675526,0.0009537111618556082,0.0010249700862914324,0.0004919485072605312
16,0.0006133766728453338,0.00041343102930113673,0.0004811519756913185,1e-04,0.00044603453716263175,0.001393455546349287,0.0009785252623260021,0.0010890418197959661,0.0009259276557713747,0.001058258581906557,0.0004517657507676631
17,0.0005304520600475371,0.00043264939449727535,0.0004565980634652078,1e-04,0.0004329267831053585,0.0013137662317603827,0.0009683272219263017,0.0010281737195327878,0.0008998672710731626,0.0009307339787483215,0.00043036355054937303
18,0.0005009699380025268,0.0003991786506958306,0.00044299341971054673,1e-04,0.00040933259879238904,0.0013772123493254185,0.0011024706764146686,0.0011497670784592628,0.0010305155301466584,0.001088869059458375,0.0004624930443242192
19,0.00045493379002436996,0.0003596215683501214,0.00038691770168952644,1e-04,0.0003580214688554406,0.0012599392794072628,0.0011892028851434588,0.0011221487075090408,0.0010658982209861279,0.000973554328083992,0.00037509409594349563
20,0.00038782277260906994,0.0002985602477565408,0.0003249494475312531,1e-04,0.0003036502457689494,0.0013136847410351038,0.0010788398794829845,0.0010765607003122568,0.0009620125638321042,0.0009517055004835129,0.0003097641747444868
21,0.0003643170348368585,0.0003054743865504861,0.00031994321034289896,1e-04,0.00029712190735153854,0.001345741213299334,0.0010712775401771069,0.0010943316156044602,0.0009741723188199103,0.0009861349826678634,0.00031285994919016957
22,0.00037031443207524717,0.0002532948274165392,0.00029111176263540983,1e-04,0.00026561663253232837,0.0011899310629814863,0.0008363418746739626,0.0009223992237821221,0.0007237097597680986,0.000939614255912602,0.0002752212167251855
23,0.000331986288074404,0.00024392775958403945,0.0002778919006232172,1e-04,0.0002610636583995074,0.0013214662903919816,0.0010120515944436193,0.0010489552514627576,0.0008689051028341055,0.0009933979017660022,0.00027458975091576576
24,0.0003275925701018423,0.0002566797484178096,0.0002719533513300121,1e-04,0.0002506770833861083,0.0012323231203481555,0.0009024993050843477,0.0009670659783296287,0.0008257841691374779,0.0009076575515791774,0.0002528643817640841
25,0.00029601738788187504,0.00021583668421953917,0.00023240245354827493,1e-04,0.00020178771228529513,0.001388082280755043,0.0010145454434677958,0.001057309447787702,0.0008600806468166411,0.0009665292454883456,0.00021596818987745792
26,0.0002805412223096937,0.0002175056142732501,0.00024536382989026606,1e-04,0.00022388462093658745,0.0013199588283896446,0.0010520812356844544,0.0010829134844243526,0.001002774341031909,0.0009568397654220462,0.0002595232508610934
27,0.00029732409166172147,0.0002150798391085118,0.00024003373982850462,1e-04,0.000227735610678792,0.0012983798515051603,0.0009883251041173935,0.0010422281920909882,0.0009590876870788634,0.000923119718208909,0.00021999524324201047
28,0.00020751780539285392,0.00015998940216377378,0.00017856026533991098,5e-05,0.00017007709539029747,0.001147860661149025,0.0009504546178504825,0.0009845348540693521,0.0008993769879452884,0.00094044697470963,0.00017665674386080354
29,0.0001772234681993723,0.000149623112520203,0.00016514463641215116,5e-05,0.0001612050546100363,0.0013287576148286462,0.0010790927335619926,0.0010678281541913748,0.0009591611451469362,0.0009043012978509068,0.00017252680845558643
30,0.0002090018824674189,0.0001430874108336866,0.00017077458323910832,5e-05,0.00015285440895240754,0.0012127263471484184,0.0010037693427875638,0.0010000914335250854,0.0008768263505771756,0.0009070440428331494,0.00017815458704717457
31,0.0001720386353554204,0.00012436782708391547,0.00013578118523582816,5e-05,0.00011763661314034835,0.001223300350829959,0.0010379086015745997,0.001011615269817412,0.0009095931891351938,0.0008756587631069124,0.00012908152712043375
32,0.00014915064093656838,0.0001079182984540239,0.00012899498688057065,5e-05,0.00012195641465950757,0.0012559399474412203,0.0011578331468626857,0.0010895848972722888,0.0010189522290602326,0.0009256140911020339,0.00013695460802409798
